
Predictions were generated on 05-Feb-2019 at 10:24:22 using FAST (v8.16.00a-bjj, 27-Jul-2016), compiled as a 64-bit application using single precision
 linked with  NWTC Subroutine Library (v2.09.00, 23-Jul-2016); ElastoDyn (v1.04.00a-bjj, 26-Jul-2016); InflowWind (v3.03.00, 26-Jul-2016); AeroDyn14 (v14.05.01a-bjj, 25-Jul-2016); ServoDyn (v1.06.00a-bjj, 26-Jul-2016)

Description from the FAST input file: ---

Time      	Spn2ALxb1 	TipDyb2   	TipDxb2   	Spn2ALyb1 	TipALyb2  	TipALxb2  	LSSGagPxa 	TeetDefl  	LSSGagVxa 	YawBrRDyt 	YawBrRAxp 	YawBrRVyp 	YawBrRDxt 	YawBrRAyp 	YawBrRVxp 	RootFxc2  	Spn3MLxb1 	RootMyc1  	RootFyc2  	Spn3MLyb1 	RootMxc1  	RotTorq   	YawBrMzn  	TwrBsMzt  
(s)       	(m/s^2)   	(m)       	(m)       	(m/s^2)   	(m/s^2)   	(m/s^2)   	(deg)     	(deg)     	(rpm)     	(deg)     	(deg/s^2) 	(deg/s)   	(deg)     	(deg/s^2) 	(deg/s)   	(kN)      	(kN·m)    	(kN·m)    	(kN)      	(kN·m)    	(kN·m)    	(kN·m)    	(kN·m)    	(kN·m)    
   10.6800	 2.869E+01	-3.688E-02	 1.765E-01	 3.750E+00	-2.834E+00	 6.563E+01	 2.398E+02	-2.989E-01	 5.428E+01	 1.044E-01	-2.866E-01	 1.305E-02	 3.509E-02	 3.442E-01	-1.091E-02	 4.154E+00	-2.220E-01	 4.184E+01	-5.812E+00	 4.251E+00	-1.145E+00	 3.628E+01	-6.223E+00	-6.221E+00
   10.7000	 2.883E+01	-3.713E-02	 1.782E-01	 4.077E+00	-3.592E+00	 6.500E+01	 2.463E+02	-1.734E-01	 5.428E+01	 1.047E-01	-2.286E-01	 1.587E-02	 3.481E-02	-9.498E-02	-1.621E-02	 4.190E+00	-9.869E-02	 4.212E+01	-5.936E+00	 4.374E+00	-8.721E-01	 3.689E+01	-5.994E+00	-5.990E+00
   10.7200	 2.919E+01	-3.735E-02	 1.801E-01	 4.280E+00	-4.070E+00	 6.384E+01	 2.529E+02	-4.468E-02	 5.429E+01	 1.049E-01	-9.480E-02	 9.436E-03	 3.445E-02	-5.091E-01	-1.953E-02	 4.173E+00	-5.768E-02	 4.210E+01	-6.052E+00	 4.510E+00	-9.496E-01	 3.718E+01	-5.911E+00	-5.907E+00
   10.7400	 2.934E+01	-3.774E-02	 1.818E-01	 4.245E+00	-4.039E+00	 6.346E+01	 2.594E+02	 8.571E-02	 5.429E+01	 1.050E-01	 4.725E-02	-2.073E-03	 3.405E-02	-5.735E-01	-1.995E-02	 4.174E+00	-1.418E-01	 4.213E+01	-6.184E+00	 4.592E+00	-1.650E+00	 3.711E+01	-5.938E+00	-5.934E+00
   10.7600	 2.916E+01	-3.830E-02	 1.830E-01	 4.030E+00	-3.535E+00	 6.403E+01	 2.659E+02	 2.158E-01	 5.429E+01	 1.049E-01	 1.199E-01	-1.105E-02	 3.367E-02	-2.833E-01	-1.812E-02	 4.224E+00	-2.931E-01	 4.228E+01	-6.317E+00	 4.591E+00	-2.641E+00	 3.693E+01	-5.839E+00	-5.835E+00
   10.7800	 2.886E+01	-3.882E-02	 1.837E-01	 3.802E+00	-2.895E+00	 6.487E+01	 2.724E+02	 3.432E-01	 5.430E+01	 1.046E-01	 1.011E-01	-1.282E-02	 3.333E-02	 9.221E-02	-1.578E-02	 4.294E+00	-4.060E-01	 4.240E+01	-6.406E+00	 4.539E+00	-3.306E+00	 3.693E+01	-5.440E+00	-5.437E+00
   10.8000	 2.869E+01	-3.904E-02	 1.839E-01	 3.695E+00	-2.525E+00	 6.530E+01	 2.789E+02	 4.658E-01	 5.430E+01	 1.044E-01	 4.036E-02	-8.824E-03	 3.303E-02	 2.555E-01	-1.436E-02	 4.340E+00	-4.076E-01	 4.231E+01	-6.409E+00	 4.483E+00	-3.209E+00	 3.717E+01	-4.770E+00	-4.766E+00
   10.8200	 2.871E+01	-3.883E-02	 1.839E-01	 3.720E+00	-2.587E+00	 6.515E+01	 2.854E+02	 5.814E-01	 5.430E+01	 1.043E-01	 1.305E-02	-4.630E-03	 3.275E-02	 1.213E-01	-1.393E-02	 4.358E+00	-3.053E-01	 4.198E+01	-6.313E+00	 4.448E+00	-2.375E+00	 3.749E+01	-3.972E+00	-3.970E+00
   10.8400	 2.883E+01	-3.827E-02	 1.833E-01	 3.785E+00	-2.916E+00	 6.489E+01	 2.920E+02	 6.880E-01	 5.430E+01	 1.042E-01	 5.960E-02	-4.947E-03	 3.248E-02	-1.572E-01	-1.332E-02	 4.371E+00	-1.601E-01	 4.156E+01	-6.141E+00	 4.429E+00	-1.163E+00	 3.769E+01	-3.188E+00	-3.186E+00
   10.8600	 2.891E+01	-3.756E-02	 1.823E-01	 3.781E+00	-3.152E+00	 6.507E+01	 2.985E+02	 7.846E-01	 5.431E+01	 1.040E-01	 1.535E-01	-1.031E-02	 3.223E-02	-3.486E-01	-1.122E-02	 4.405E+00	-3.191E-02	 4.118E+01	-5.928E+00	 4.413E+00	 3.999E-02	 3.770E+01	-2.442E+00	-2.441E+00
   10.8800	 2.893E+01	-3.689E-02	 1.808E-01	 3.674E+00	-3.024E+00	 6.568E+01	 3.050E+02	 8.700E-01	 5.431E+01	 1.038E-01	 2.287E-01	-1.744E-02	 3.204E-02	-3.290E-01	-7.314E-03	 4.462E+00	 5.490E-02	 4.090E+01	-5.700E+00	 4.396E+00	 1.093E+00	 3.761E+01	-1.688E+00	-1.687E+00
   10.9000	 2.899E+01	-3.630E-02	 1.794E-01	 3.510E+00	-2.564E+00	 6.630E+01	 3.115E+02	 9.436E-01	 5.431E+01	 1.034E-01	 2.409E-01	-2.233E-02	 3.194E-02	-1.448E-01	-2.490E-03	 4.528E+00	 1.202E-01	 4.065E+01	-5.453E+00	 4.384E+00	 2.143E+00	 3.757E+01	-9.408E-01	-9.415E-01
   10.9200	 2.907E+01	-3.571E-02	 1.784E-01	 3.364E+00	-2.019E+00	 6.655E+01	 3.180E+02	 1.005E+00	 5.431E+01	 1.029E-01	 1.889E-01	-2.320E-02	 3.194E-02	 4.684E-02	 1.887E-03	 4.573E+00	 2.095E-01	 4.034E+01	-5.168E+00	 4.377E+00	 3.412E+00	 3.760E+01	-2.789E-01	-2.803E-01
   10.9400	 2.912E+01	-3.501E-02	 1.779E-01	 3.271E+00	-1.611E+00	 6.628E+01	 3.245E+02	 1.053E+00	 5.431E+01	 1.025E-01	 1.166E-01	-2.121E-02	 3.201E-02	 1.318E-01	 4.927E-03	 4.611E+00	 3.474E-01	 3.997E+01	-4.831E+00	 4.366E+00	 5.037E+00	 3.767E+01	 1.972E-01	 1.951E-01
   10.9600	 2.918E+01	-3.414E-02	 1.779E-01	 3.246E+00	-1.440E+00	 6.573E+01	 3.311E+02	 1.087E+00	 5.432E+01	 1.021E-01	 6.196E-02	-1.932E-02	 3.212E-02	 5.221E-02	 6.615E-03	 4.584E+00	 5.317E-01	 3.953E+01	-4.423E+00	 4.348E+00	 7.012E+00	 3.768E+01	 3.799E-01	 3.772E-01
